mes_iso,valor_brl
1997-07,26.72
1997-08,26.40
1997-09,26.02
1997-10,27.18
1997-11,26.83
1997-12,27.22
1998-01,26.57
1998-02,26.42
1998-03,26.78
1998-04,26.99
1998-05,26.21
1998-06,26.15
1998-07,26.86
1998-08,27.53
1998-09,28.57
1998-10,27.78
1998-11,28.10
1998-12,28.09
1999-01,28.96
1999-02,31.10
1999-03,31.49
1999-04,30.84
1999-05,29.55
1999-06,29.99
1999-07,32.26
1999-08,32.68
1999-09,35.25
1999-10,39.65
1999-11,41.75
1999-12,40.71
2000-01,41.16
2000-02,39.42
2000-03,37.91
2000-04,37.78
2000-05,36.34
2000-06,38.79
2000-07,40.20
2000-08,41.58
2000-09,40.99
2000-10,42.46
2000-11,41.59
2000-12,40.57
2001-01,40.13
2001-02,39.58
2001-03,39.84
2001-04,41.72
2001-05,40.94
2001-06,40.95
2001-07,41.44
2001-08,42.21
2001-09,42.87
2001-10,46.50
2001-11,45.91
2001-12,46.12
2002-01,45.62
2002-02,45.72
2002-03,44.70
2002-04,42.47
2002-05,42.17
2002-06,42.45
2002-07,43.95
2002-08,49.22
2002-09,49.96
2002-10,53.63
2002-11,57.80
2002-12,57.59
2003-01,57.03
2003-02,56.92
2003-03,56.38
2003-04,55.08
2003-05,52.02
2003-06,52.69
2003-07,54.88
2003-08,57.09
2003-09,59.02
2003-10,59.26
2003-11,60.34
2003-12,60.10
2004-01,60.17
2004-02,58.59
2004-03,58.02
2004-04,58.11
2004-05,59.43
2004-06,60.49
2004-07,60.33
2004-08,61.58
2004-09,60.00
2004-10,59.64
2004-11,61.74
2004-12,61.18
2005-01,59.56
2005-02,58.23
2005-03,57.18
2005-04,55.39
2005-05,54.23
2005-06,53.78
2005-07,52.61
2005-08,51.30
2005-09,50.02
2005-10,55.47
2005-11,56.01
2005-12,51.74
2006-01,49.64
2006-02,50.53
2006-03,49.60
2006-04,50.26
2006-05,48.85
2006-06,48.83
2006-07,50.41
2006-08,55.90
2006-09,59.01
2006-10,61.55
2006-11,55.05
2006-12,53.48
2007-01,53.57
2007-02,55.14
2007-03,55.93
2007-04,55.82
2007-05,55.55
2007-06,57.40
2007-07,61.48
2007-08,64.35
2007-09,61.40
2007-10,63.82
2007-11,72.54
2007-12,74.21
2008-01,74.61
2008-02,74.85
2008-03,76.19
2008-04,77.24
2008-05,80.52
2008-06,91.53
2008-07,92.79
2008-08,92.05
2008-09,88.82
2008-10,90.79
2008-11,88.39
2008-12,82.20
2009-01,84.01
2009-02,81.54
2009-03,77.54
2009-04,80.03
2009-05,79.47
2009-06,80.85
2009-07,81.39
2009-08,77.92
2009-09,77.25
2009-10,77.18
2009-11,74.35
2009-12,74.64
2010-01,75.70
2010-02,77.03
2010-03,79.03
2010-04,82.33
2010-05,80.81
2010-06,82.16
2010-07,84.15
2010-08,88.99
2010-09,93.49
2010-10,100.62
2010-11,113.01
2010-12,104.90
2011-01,103.07
2011-02,104.30
2011-03,105.46
2011-04,104.23
2011-05,100.41
2011-06,97.22
2011-07,99.34
2011-08,101.15
2011-09,98.57
2011-10,99.77
2011-11,106.17
2011-12,101.75
2012-01,98.77
2012-02,97.06
2012-03,94.16
2012-04,95.51
2012-05,93.13
2012-06,92.72
2012-07,91.05
2012-08,90.48
2012-09,96.11
2012-10,95.71
2012-11,97.50
2012-12,96.30
2013-01,97.54
2013-02,98.09
2013-03,98.16
2013-04,99.93
2013-05,97.91
2013-06,99.01
2013-07,102.42
2013-08,101.41
2013-09,106.94
2013-10,108.95
2013-11,108.55
2013-12,112.83
2014-01,114.17
2014-02,118.05
2014-03,124.65
2014-04,124.44
2014-05,121.88
2014-06,121.70
2014-07,119.36
2014-08,123.24
2014-09,128.58
2014-10,134.02
2014-11,143.10
2014-12,143.08
2015-01,143.06
2015-02,143.38
2015-03,145.35
2015-04,149.44
2015-05,147.86
2015-06,146.19
2015-07,142.27
2015-08,141.26
2015-09,143.67
2015-10,147.51
2015-11,148.52
2015-12,146.88
2016-01,149.54
2016-02,154.00
2016-03,155.80
2016-04,157.39
2016-05,154.38
2016-06,156.67
2016-07,155.59
2016-08,150.65
2016-09,150.08
2016-10,151.33
2016-11,149.89
2016-12,149.32
2017-01,148.38
2017-02,144.99
2017-03,143.33
2017-04,136.80
2017-05,136.07
2017-06,128.66
2017-07,124.50
2017-08,133.71
2017-09,143.47
2017-10,140.78
2017-11,141.00
2017-12,145.23
2018-01,146.53
2018-02,145.09
2018-03,144.80
2018-04,143.16
2018-05,140.59
2018-06,138.53
2018-07,141.72
2018-08,144.81
2018-09,149.68
2018-10,148.56
2018-11,146.26
2018-12,150.21
2019-01,152.23
2019-02,150.38
2019-03,152.91
2019-04,157.29
2019-05,152.75
2019-06,149.95
2019-07,153.12
2019-08,154.41
2019-09,158.31
2019-10,163.26
2019-11,201.16
2019-12,211.97
2020-01,193.05
2020-02,197.05
2020-03,200.36
2020-04,199.57
2020-05,201.21
2020-06,209.87
2020-07,221.36
2020-08,228.48
2020-09,248.50
2020-10,264.65
2020-11,285.32
2020-12,266.12
2021-01,289.01
2021-02,301.73
2021-03,309.34
2021-04,316.06
2021-05,310.47
2021-06,317.28
2021-07,318.63
2021-08,315.13
2021-09,302.05
2021-10,269.56
2021-11,297.66
2021-12,320.90
2022-01,338.46
2022-02,340.29
2022-03,344.71
2022-04,335.06
2022-05,323.10
2022-06,317.96
2022-07,324.41
2022-08,313.39
2022-09,303.35
2022-10,296.74
2022-11,283.35
2022-12,292.10
2023-01,285.97
2023-02,289.72
2023-03,281.80
2023-04,285.81
2023-05,263.83
2023-06,248.80
2023-07,250.81
2023-08,220.36
2023-09,212.51
2023-10,237.84
2023-11,234.87
2023-12,248.63
2024-01,249.65
2024-02,237.84
2024-03,232.81
2024-04,230.51
2024-05,226.92
2024-06,220.70
2024-07,229.27
2024-08,235.07
2024-09,255.45
2024-10,301.13
2024-11,338.76
2024-12,320.33
2025-01,324.95
2025-02,319.21
2025-03,312.47
2025-04,323.96
2025-05,308.15
2025-06,313.51
2025-07,299.97
2025-08,307.25
2025-09,307.87
2025-10,310.51
2025-11,322.08
2025-12,320.28
2026-01,320.60
2026-02,342.25
2026-03,350.18
2026-04,362.77
2026-05,348.47
2026-06,352.59
